Tweet Id,Tweet URL,Tweet Posted Time,Tweet Content,Tweet Type,Client,Retweets received,Likes received,User Id,Name,Username,Verified or Non-Verified,Profile URL,Protected or Not Protected
"""1164359165516496896""",https://twitter.com/katyperry/status/1164359165516496896,22-08-2019 02:10,"""if you actually wear your fanny pack around your waist you will have 7 years of bad luck""",Tweet,Twitter for iPhone,1630,13782,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1164287143037952000""",https://twitter.com/katyperry/status/1164287143037952000,21-08-2019 21:24,"""Yes, @cynthialovely refuses to let the sunshine fade... ever 🌞 Thanks @billboard #NeverEndingSummer 🧡 https://t.co/vaZ1VxF7KE""",Tweet,Twitter for iPhone,401,3604,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1164237129666314240""",https://twitter.com/katyperry/status/1164237129666314240,21-08-2019 18:05,"""Technically summer doesn’t end until September 23rd, but it seems like it’ll be a long one this year...maybe even a never-ending one, thanks to this song by @cynthialovely ☀🤗 #NeverEndingSummer https://t.co/AmmRcquKSn https://t.co/YrJxlgHAQM""",Tweet,Twitter for iPhone,690,5955,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1164057424703176704""",https://twitter.com/katyperry/status/1164057424703176704,21-08-2019 06:11,"""I’m having the PRIME of my life lilnasx jeffbezos #Nugget 👍🏻 amazon @ Old Town Road https://t.co/qjwvTPEyH1""",Tweet,Instagram,763,6432,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1163970049050210304""",https://twitter.com/katyperry/status/1163970049050210304,21-08-2019 00:24,"""Add a little ✨shine✨ to your regularly scheduled work lewk with The Jamie this #TuesdayShoesday @kpcollections https://t.co/ukwbd8iP3J""",Tweet,Twitter for iPhone,625,6411,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1163541461234847744""",https://twitter.com/katyperry/status/1163541461234847744,19-08-2019 20:01,"""On October 11th, I’ll be in DC for a special 🎶 acoustic 🎶 set for the #SilencetheViolence Benefit Concert � @mavisstaples and @norahjones will be joining me to help raise funds for the David Lynch Foundation to… https://t.co/wxGQhyQs9j""",Tweet,Instagram,933,6889,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1162837018402934784""",https://twitter.com/katyperry/status/1162837018402934784,17-08-2019 21:22,"""Show me your 🌼FLOWER POWER🌼 with my new #SmallTalk filter on instagram (click on my profile to find it, see 3rd scroll) 🤗 @ Small Talk! https://t.co/IbjRZvGSgU""",Tweet,Instagram,1045,8239,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1162411165860810752""",https://twitter.com/katyperry/status/1162411165860810752,16-08-2019 17:09,"""Haven’t heard #SmallTalk yet? Now you can head to @spotify to see my new vertical video (as you so patiently wait for THE music video 🙏🏻) https://t.co/0qD83Z8aIZ https://t.co/0ISMSOTwej""",Tweet,Twitter for iPhone,3227,18872,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1162107758591692800""",https://twitter.com/katyperry/status/1162107758591692800,15-08-2019 21:04,"""honey every day is @cynthialovely day for me when you’re the boss mom ❤️❤️❤️ (updates calendar) https://t.co/DKY0JUel7K""",Tweet,Twitter for iPhone,557,5927,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1162094625399566336""",https://twitter.com/katyperry/status/1162094625399566336,15-08-2019 20:12,"""added to my calendar @cynthialovely ♥️☀️ https://t.co/aL0CxdeygI""",Tweet,Twitter for iPhone,557,6278,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1161735142588575744""",https://twitter.com/katyperry/status/1161735142588575744,14-08-2019 20:23,"""Is that #smalltalk I hear? https://t.co/ydXKJkqtfs https://t.co/lT1lb4cVDd""",Tweet,Twitter for iPhone,2436,16020,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1161733358268768256""",https://twitter.com/katyperry/status/1161733358268768256,14-08-2019 20:16,"""♥️🌼 https://t.co/5ahF41b4bu""",Tweet,Twitter for iPhone,1826,22727,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1161733145735004161""",https://twitter.com/katyperry/status/1161733145735004161,14-08-2019 20:15,"""Always lovers #MortaLinda https://t.co/8NjWkGlAwz""",Tweet,Twitter for iPhone,3080,17542,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1161733003841699840""",https://twitter.com/katyperry/status/1161733003841699840,14-08-2019 20:15,"""💬💬 https://t.co/vZ4b8YcPpI""",Tweet,Twitter for iPhone,1286,11478,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1161367924914786304""",https://twitter.com/katyperry/status/1161367924914786304,13-08-2019 20:04,"""God spelled backwards is Dog and I don’t think that is a coincidence☝🏻 @ Puppy Love https://t.co/lHYMQV8IBm""",Tweet,Instagram,1130,10762,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1161340709514801152""",https://twitter.com/katyperry/status/1161340709514801152,13-08-2019 18:16,"""Whether it's #SmallTalk🐱or big conversations🐯that are #NeverReallyOver, @kpcollections has you covered on #ShoesdayTuesday and every day 🤗 https://t.co/o3H24X3utq""",Tweet,Twitter for iPhone,789,7143,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1160456545961857024""",https://twitter.com/katyperry/status/1160456545961857024,11-08-2019 07:42,"""Can’t we all just be kind and good? Why is that so hard?""",Tweet,Twitter for iPhone,45163,146578,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1159951298063548416""",https://twitter.com/katyperry/status/1159951298063548416,09-08-2019 22:15,"""💬💬 https://t.co/9KykiJHfvP""",Tweet,Twitter for iPhone,1354,12369,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1159938738669010944""",https://twitter.com/katyperry/status/1159938738669010944,09-08-2019 21:25,"""🌼 https://t.co/DrxNFubYHg""",Tweet,Twitter for iPhone,1121,7791,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1159931392152821760""",https://twitter.com/katyperry/status/1159931392152821760,09-08-2019 20:56,"""bts of my beatboxing brother @charlieputh on March 11th 2019 doing his savant thing on #SmallTalk 🌼 @ Small Talk! https://t.co/6H0vrMw55c""",Tweet,Instagram,916,5483,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1159910139291242496""",https://twitter.com/katyperry/status/1159910139291242496,09-08-2019 19:31,"""☝🏼 https://t.co/EMqHSq5UGt""",Tweet,Twitter for iPhone,1347,11384,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1159909761401233408""",https://twitter.com/katyperry/status/1159909761401233408,09-08-2019 19:30,"""❤️ https://t.co/Y3g6AYJEyc""",Tweet,Twitter for iPhone,1234,8314,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1159898882110681089""",https://twitter.com/katyperry/status/1159898882110681089,09-08-2019 18:46,"""🗣 https://t.co/bnCG7f6Alf""",Tweet,Twitter for iPhone,2056,14584,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1159898271264849920""",https://twitter.com/katyperry/status/1159898271264849920,09-08-2019 18:44,"""Katy Perry's new single, Small Talk, has arrived 🎵  https://t.co/1SF65wv8Zi""",Tweet,Twitter for iPhone,2599,12520,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1159677590073831426""",https://twitter.com/katyperry/status/1159677590073831426,09-08-2019 04:07,"""Listen to #SmallTalk and watch the lyric video: https://t.co/ydXKJkqtfs And then join me on IG Live for some small talk of our own ❤️ https://t.co/Ao7vVjzdgJ""",Tweet,Twitter for iPhone,4978,21444,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
"""1159677110790656001""",https://twitter.com/katyperry/status/1159677110790656001,09-08-2019 04:05,"""meet me on IG imma go live and #smalltalk rn ♥️""",Tweet,Twitter for iPhone,1826,13827,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,Not Protected
